"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\package-lock.json", "JSON", 0, 188, 0, 0, 0, 0, 0, 0, 0, 188
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\app\(dashboard)\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 378, 11, 15, 404
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\app\(dashboard)\colleges\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 890, 23, 40, 953
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 6, 34
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\components\ui\image-cropper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 3, 17, 173
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 6, 64
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\admin\src\lib\api.ts", "TypeScript", 0, 0, 0, 0, 0, 176, 0, 20, 23, 219
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\config\db.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 105
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\controllers\cardExtensionController.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 42, 52, 375
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\controllers\categoryController.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 33, 32, 257
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\controllers\challengeController.js", "JavaScript", 472, 0, 0, 0, 0, 0, 0, 61, 63, 596
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\controllers\collegeController.js", "JavaScript", 312, 0, 0, 0, 0, 0, 0, 56, 37, 405
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\controllers\communityController.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 0, 13
